u^2,u^3,u^4
-0.015635424644766565,-0.01407157005374369,-0.005867007561296419
-0.015351739336824044,-0.013327700770378594,-0.005728378114018786
-0.01568130240336413,-0.014888842793918219,-0.005782451811671185
-0.014306298212859659,-0.012982937798089275,-0.0051101585388437995
-0.014709496447218926,-0.012870508410873572,-0.005353361915433449
-0.0141954584188231,-0.015708436286497523,-0.004751157412469709
-0.01555932014728026,-0.013267657957296756,-0.005921795260336255
-0.013715304839292227,-0.013772738781687234,-0.004737982815268857
-0.01496008413600759,-0.012667968675652624,-0.00553786372208556
-0.01573210262911942,-0.016230703647993325,-0.005555348230757086
-0.01519781540187145,-0.012682182538190114,-0.005706456557117947
-0.013763656882764024,-0.012957861166099779,-0.004835770116265768
-0.01543402706936052,-0.012550077229423896,-0.005920302631214327
-0.014352810707766223,-0.012214847882062068,-0.005218795984844252
-0.014729626988139805,-0.012190293931062936,-0.005448156286790415
-0.015014130356466608,-0.012099989318165187,-0.005651760995104159
-0.013657443264509945,-0.014459844514624303,-0.004650380202208103
-0.013836678067785518,-0.012121507954041124,-0.004948255926711315
-0.015717094679737788,-0.013126011020886159,-0.006125701968780565
-0.015259132552092854,-0.011921510792643305,-0.005865728219078108
-0.014450463429485487,-0.011548192556376855,-0.005346870428844607
-0.015641271892224064,-0.012314752506458195,-0.006160005011181728
-0.014791128041292975,-0.011564033612571297,-0.005563958877051676
-0.01575314091278349,-0.016741339745253367,-0.005456461236720285
-0.015490458248706002,-0.011610771971038457,-0.006117158122675793
-0.015723781040591453,-0.014003831084849497,-0.00602134622350107
-0.013987017843142808,-0.01139866075106198,-0.005092700251837113
-0.015045751332782437,-0.011399791133395109,-0.0057689411053992124
-0.015703213936028106,-0.0156072812102241,-0.005691600098655284
-0.014838544637187551,-0.011017850800287327,-0.005663053365826817
-0.01456925698940775,-0.010958987646431861,-0.005485010649066639
-0.01527025263180444,-0.011015904634144192,-0.006006492712800121
-0.013131272969503564,-0.012854770594425908,-0.004556203948154744
-0.014176086365592692,-0.010792620541290238,-0.005255486362565544
-0.015001092973512058,-0.010613492273305538,-0.005839211287681664
-0.013164019904000375,-0.011920189618287034,-0.004636490952270035
-0.01335250855566252,-0.011078709571585278,-0.004785357144393665
-0.014703536866477664,-0.01041729300098163,-0.0056388261934644125
-0.01571831336302986,-0.011184449650506278,-0.00641525664412849
-0.015516667983318471,-0.0105138635580718,-0.006306936225552394
-0.013659901110169992,-0.010467737255747822,-0.00498703454576465
-0.014359162290684804,-0.010250884820854858,-0.0054209215206261286
-0.015823326626222326,-0.011979727433688478,-0.006432724074531605
-0.013129385014563304,-0.013665232813690949,-0.004498334479662854
-0.013936810544607615,-0.009969396163951955,-0.005181854516950016
-0.014842303741539354,-0.009796594078696971,-0.005818138383360746
-0.015207597406799939,-0.009876372135062607,-0.0061126795310244226
-0.014514370259348769,-0.00970942672684921,-0.00558165449997982
-0.014160777824536072,-0.009501857565122137,-0.005360085389460878
-0.013430752208967235,-0.009516504907988593,-0.004921281945375115
-0.012986105022155643,-0.009892019564235025,-0.004669250745215587
-0.014325409164701278,-0.00909366086513658,-0.005508671071333966
-0.0158126561885404,-0.01294136004573525,-0.006326588941542107
-0.01552958579209378,-0.009326940402010944,-0.006488528880474628
-0.013743111911829552,-0.009133516852989717,-0.005125802488532706
-0.014600916140196898,-0.00904700937191602,-0.00571651019201352
-0.01578254608922171,-0.009917874408343415,-0.00666693142691211
-0.014930135554011011,-0.008967308530580595,-0.005990188653691021
-0.015248368166914675,-0.008729202177114655,-0.006299893152130658
-0.015681871608498852,-0.01486282048990363,-0.005875532695411859
-0.015952094190949888,-0.010614398717060986,-0.006773364326044674
-0.013994156075273807,-0.008706334227049377,-0.00531703242571105
-0.012392283444306536,-0.01050764026625856,-0.004366677450776998
-0.014280242984591001,-0.008384514314235404,-0.005544632799594716
-0.013317359273735067,-0.00872475356715641,-0.00489911620682962
-0.014619629989713142,-0.008189204790930684,-0.005824610563937361
-0.01241876378287683,-0.011827924694893471,-0.0043194159535136275
-0.013530325367973191,-0.008237776497159819,-0.005052533966866991
-0.014966876235966927,-0.008026968201872701,-0.006134008269889161
-0.012506577214368455,-0.012802691440380756,-0.004305692231486021
-0.012854030234580793,-0.008763033979344945,-0.004645787188223854
-0.015513115085042033,-0.00818588909539926,-0.00662545928446087
-0.013835822880269653,-0.007747209913608098,-0.005283364677637557
-0.015246449848752166,-0.007858502546793973,-0.006407968190774556
-0.015810084283601738,-0.008601398857086552,-0.006878123759193862
-0.014215202787466272,-0.007388606951079204,-0.0055861483489521475
-0.014632525071446216,-0.007189479604723895,-0.005940117896024229
-0.012957559743267469,-0.007855999885193256,-0.0047322291039893485
-0.015030630407162841,-0.007100729562031796,-0.006300358443209412
-0.012142209100882852,-0.00886648999855664,-0.004295003061431577
-0.015394300810806665,-0.007147006822397639,-0.006642376435830245
-0.01324827276505096,-0.007123840084163151,-0.004932171720658894
-0.016066931744937438,-0.009126241370273904,-0.007097354017693487
-0.01575303202427133,-0.007328020238568704,-0.006988776717052953
-0.013660171001193856,-0.006513076171075223,-0.005237075146653454
-0.015993183140521207,-0.011536199923877109,-0.006762420912647399
-0.01417477946852824,-0.0061842331094194,-0.005650922972809468
-0.01570619864865888,-0.01394644278374405,-0.006129482064936575
-0.014698039147658177,-0.006127404090026401,-0.006102927942891354
-0.012207769312305595,-0.007581953850797212,-0.004339700708844748
-0.01515355998671978,-0.006138825682130584,-0.006527872256535931
-0.01250599674858494,-0.006573445659671077,-0.004501265661807287
-0.016115980543029835,-0.007598481987720159,-0.00735242511724281
-0.01557487007088258,-0.006156476059366737,-0.006952566550854505
-0.012917720399239935,-0.005692260772140477,-0.004758043348320622
-0.016224572873156082,-0.00979838126147893,-0.0072234453839496214
-0.01122211768383087,-0.009061173347989246,-0.00390351411473483
-0.014271306216557946,-0.004949932424238565,-0.005820510358586414
-0.014837234493754443,-0.005094049267406917,-0.006329383509155209
-0.013485993246083131,-0.004826453521390479,-0.005176522655987358
-0.011870011880169768,-0.011988562686698357,-0.004099782028261684
-0.016013321327438653,-0.006167331148695857,-0.007426467030723142
-0.015726825582715865,-0.016601559982738535,-0.005507750655750401
-0.015295548952305628,-0.005103151971969589,-0.006785752918927454
-0.01641460256375151,-0.008101062280562055,-0.007638842559452977
-0.011597318452146677,-0.006052175407331089,-0.004013445716598084
-0.011364713533168477,-0.010723842513911348,-0.003947643286251408
-0.014265516679291374,-0.016066143854198873,-0.004749114763788559
-0.014996821450618054,-0.004247395606464716,-0.006564276270096533
-0.0157463327015412,-0.004954128298966486,-0.007284865027221968
-0.01569806674673507,-0.016163630715080136,-0.0056021829241110765
-0.014521344542546118,-0.0039029848211317914,-0.00611910929034777
-0.012030534666157732,-0.005016473565674927,-0.004206997937643355
-0.01111284650891792,-0.007252577785122448,-0.0038318021798187138
-0.013827029644075214,-0.003468255722755719,-0.005494213410110293
-0.012497786871991719,-0.003991783030108589,-0.004461817899335646
-0.013599365060732697,-0.014995597563474766,-0.004583839089761742
-0.015375150462461254,-0.003936844443376443,-0.006993975467956511
-0.012961034121081124,-0.0028713174976249417,-0.004763978730021222
-0.015805662116068972,-0.012886054090463592,-0.006458246924704155
-0.014883320861057578,-0.0031299262737572294,-0.006540978880722418
-0.016255265678837776,-0.004713908835238575,-0.007889126582768621
-0.014229868236788604,-0.0024450192501791184,-0.005906641107555505
-0.016538779874003547,-0.0061577700613099536,-0.008025711883645818
-0.011067580274869308,-0.004388467039913088,-0.003662408838326482
-0.015872297270331744,-0.00356196334462449,-0.007592876988963361
-0.010588462495122585,-0.005387635085182243,-0.003518102851741102
-0.01152530994516574,-0.0032982740153652866,-0.003817272116998362
-0.013414736572376608,-0.00173165312625126,-0.005125778951166428
-0.015369389636238436,-0.0025470590301973016,-0.0071257803541151426
-0.011993994366315685,-0.002154262092325575,-0.00401189720920086
-0.013902470480406248,-0.015521700748335674,-0.0046558643638365
-0.013132798705917966,-0.014336104080288578,-0.004455970118308166
-0.016249500383689816,-0.010475683386295977,-0.0072513689459825
-0.014724684151734058,-0.0016278297965081504,-0.006468527239026669
-0.01247442637997219,-0.0009763243201011646,-0.004267686936987397
-0.016567396980849705,-0.008809065863560733,-0.00776573646589369
-0.01644293248585654,-0.0031307316972218613,-0.008315270430692011
-0.010061308861069292,-0.007647609202040996,-0.003443194105889061
-0.013930435038018623,-0.0007402910157353632,-0.005628179438537802
-0.015955546340363037,-0.002020603094418322,-0.007870116990677894
-0.016823906759781848,-0.0042350474418674485,-0.008612874331404268
-0.015745448869897292,-0.017414701031785804,-0.005298578257835828
-0.010516401693063667,-0.0026773897551989707,-0.0032267214408615284
-0.015321397605576858,-0.0009430241550147721,-0.007210837626988447
-0.01687209971102908,-0.007008399609624682,-0.008306508030776224
-0.012993672818938436,0.00017708393519728436,-0.004637299873146313
-0.01008223516896896,-0.0038025152663098637,-0.003169324664675372
-0.010979712780779862,-0.0014753155074506271,-0.003303569742124188
-0.009889653911376974,-0.006027227541464525,-0.0032944726019253235
-0.014535433505478354,9.556404125965643e-05,-0.006324647537982776
-0.011459652880365328,-0.0002381956950394593,-0.003418041173447781
-0.011957643976897171,0.0010221200041339203,-0.00360005225860297
-0.010186960311701014,-0.009228581561261641,-0.0035291490537734532
-0.009717187998922636,-0.004697683905154218,-0.003121249852637258
-0.016617229915481608,-0.0015439252212140833,-0.00874101700571136
-0.013612133567063485,0.0011430492819037715,-0.005237781990393287
-0.017041747203005563,-0.0026512684547455568,-0.009097427318182673
-0.016024025242275745,-0.00034583072864345627,-0.008146546053271067
-0.012542036837698839,-0.01357537616394833,-0.004283089500733903
-0.01716096573314374,-0.005178489619922981,-0.008868659806527936
-0.015239581179351515,0.0008328999068289749,-0.00724310819033919
-0.009920717511735197,-0.0008645667942773355,-0.002672793019152058
-0.014311455865642694,0.0019489675150105217,-0.006077981175499856
-0.012507203489907111,0.002394054999837256,-0.003903668453302865
-0.010402270067378986,0.00044998905572679555,-0.002642760308360933
-0.01089015304727404,0.0017618035509924144,-0.0026414229311296014
-0.009463184679629505,-0.0021549350963995084,-0.002710791075150384
-0.01596167589258433,-0.011884027001053796,-0.0068238591344108365
-0.01740718311762703,-0.003514040992636431,-0.009394217615312197
-0.013328875120215277,0.0030186080947581617,-0.004780864256829879
-0.011361745129728913,0.003058562367604134,-0.002680988908397663
-0.017307701707423913,-0.0012058294592395306,-0.00964630507316412
-0.01684258480110585,0.0001300231508606422,-0.00927046615322132
-0.016085666609245073,0.001502393557835493,-0.008444042014080166
-0.015634160815378734,-0.015621408426113068,-0.005722091559750255
-0.01755720557258531,-0.002232346524620384,-0.009776326805522635
-0.01251553819745494,0.004011348461647701,-0.0036465964407774603
-0.009081590751506366,-0.0034188795155037414,-0.002759103042740599
-0.015084964572781098,0.002766684321260519,-0.007158434117196887
-0.008895609663573723,-0.004770914459090595,-0.002854703354990971
-0.014001079535773784,0.0038601165986826306,-0.005633878381501077
-0.011713516995926833,0.004361929451857271,-0.0026672222233979415
-0.009306653550619323,0.0010705140807283796,-0.001986015358643436
-0.012966708705312168,0.004773278259064525,-0.004105435675798359
-0.008901937820622522,-0.006297380533815021,-0.002987922645480537
-0.011130766642545925,-0.011722268893774259,-0.003848940710943757
-0.0098028859951545,0.0024979942965281934,-0.0018020863835928617
-0.010303557283918631,0.0038205658275071394,-0.0016632970626462992
-0.017781274915050306,-0.004156963661968162,-0.009709743757799653
-0.017441597618542852,-0.005931212326760105,-0.009076702299051298
-0.011862578070703848,-0.012724910695535165,-0.004076168640319818
-0.010746610986801105,0.005018648803761547,-0.001559323094021054
-0.016035807746447164,0.0035214688813889265,-0.008631542772515238
-0.012017238164206606,0.005521049649872572,-0.002716105491160138
-0.008802151593191247,-0.00033639809696799013,-0.0021419663041148283
-0.01772534318218056,0.000270929436026818,-0.010429900003727526
-0.013486966446432845,0.005716538149938541,-0.004771114747153515
-0.017006512636365954,-0.007784697667504893,-0.008389429415262866
-0.017979091407786474,-0.0025811455027007347,-0.010202335401782794
-0.011083477403981194,0.006183153697288593,-0.0014363360463235453
-0.014768189623946543,0.0049432647181863265,-0.006813428125140597
-0.01796959872490288,-0.001180146005995421,-0.010452100378057504
-0.01720967427357,0.0021222181798428133,-0.010101329319124707
-0.01239844780568458,0.0065170954584325355,-0.0030008475713465895
-0.00980343771726261,0.005801152776220323,-0.000567159047562144
-0.010169249976593506,0.006899510505571824,-0.0002926592063297356
-0.011379278052614796,0.0072833205743219834,-0.0013702544397131604
-0.008697039189500332,0.00311134251640106,-0.0011582189522022378
-0.00832248189344661,-0.0017551171979447431,-0.0022766665073639283
-0.01391846057925161,0.006728215480697042,-0.005462811802178243
-0.012818252824774745,0.007470205773405814,-0.0035115151368627215
-0.009169968334032627,0.004808975483847455,-0.0006887261997927353
-0.015904319517055666,0.00544812338128841,-0.008743702920899259
-0.010433091588388317,0.00801688569188733,4.388601508630704e-05
-0.00899103206798543,-0.007894431018295033,-0.0031061581609378866
-0.017091281661596205,0.004339427570216917,-0.010401244584238788
-0.01167834970965515,0.008331266910373102,-0.0014486289271920733
-0.007955838424594299,-0.003247041900676827,-0.002409410420201692
-0.0148767989457983,0.006550400037941867,-0.007155640566568908
-0.008166658620089466,0.0016118355774463067,-0.0014734326351010763
-0.010626617744288028,0.009122729516039145,0.0004017749219291447
-0.014180865113431853,0.007516031505910422,-0.005995303097516989
-0.009057153274964244,0.006635108655689361,0.0002086364589895109
-0.013331394762496446,0.008153306569085646,-0.004414403940876909
-0.009333673139517239,0.007632826761272319,0.0006301459850291541
-0.018376190102639117,0.001676464655354554,-0.011569297807410141
-0.009577286293555096,0.008743970735526883,0.0011766749816778316
-0.018554912703808078,9.187984883520633e-05,-0.011414674548228358
-0.012054754772394902,0.0093568881248258,-0.001874054982609849
-0.018214662121207627,0.0034103390045622647,-0.011808099066867545
-0.015752696510495486,-0.017276099060592864,-0.00533664894739895
-0.009728345579090034,0.009859001761755746,0.0018338363664674663
-0.015659156076764227,0.006968472121122495,-0.008635789807865972
-0.01859622055250675,-0.0014043296338673646,-0.011124915041124046
-0.010758299259400089,0.010219602471543167,0.000739714578343154
-0.014776519171133738,0.0076724954379833,-0.007149127752726753
-0.018462243816191423,-0.0029666024833697223,-0.010647129023509885
-0.013962889782654142,0.008451674918694722,-0.005687237721772535
-0.00809482642675353,0.005110371919854627,-0.0002448587196311772
-0.013013478945680028,0.009369071935489692,-0.0038402124052742456
-0.014199481651752104,-0.016000616483527325,-0.0047288051834022396
-0.016931604184248165,0.006341399511339288,-0.01068277496468202
-0.016533028687982395,-0.009577417377409681,-0.0077223974134920945
-0.008382799332949529,0.006706077568647463,0.0004408443199416303
-0.009752728022897273,0.0110077759102463,0.0026681453588962493
-0.015302901307583832,0.007937745437576539,-0.00822083614248418
-0.014628668961591531,0.008575236869298179,-0.00705640089769235
-0.007774138900217162,-0.0048410423948442955,-0.002548090842075719
-0.0075852924084216814,0.0001322913907420556,-0.001713900508305257
-0.008795096486153234,0.009483609428101811,0.002035693862764765
-0.012004858396898207,0.010537097928126614,-0.0017123453289108073
-0.01074376590308917,0.011384512161380112,0.0011782827309248557
-0.008972984032661634,0.010559160015315589,0.0028460139570138134
-0.00856500646155755,0.008229120904626696,0.0012533540310458377
-0.01817737154857005,0.005168611870287866,-0.012290233084053775
-0.013805871891700815,0.009388307658687705,-0.005533929446802317
-0.009669868130609494,0.012087448799665047,0.003576773640436491
-0.008980832542315869,0.01168268912642123,0.003905772846755576
-0.012888805584960137,0.010291292085184723,-0.0036986957857287265
-0.01024443293076665,-0.01054878084888224,-0.0035624258758845595
-0.015301887085934508,0.008613000499763462,-0.008421823701308109
-0.016107323778518975,0.00782404162147613,-0.009709446254942064
-0.014579202327277623,0.009345678316581216,-0.0071740004724610935
-0.012093282236676939,0.011088026158529479,-0.0019979655431551836
-0.007598539300900997,0.003598608427866905,-0.000730463215119107
-0.011212460240465957,0.011695269842288657,6.45507774263449e-05
-0.00939681438857826,0.013056491444777465,0.004678678181633816
-0.013727256432682996,0.010254156364470362,-0.005604703546619415
-0.015846302304425706,0.008681148625376764,-0.009536437513825529
-0.012661720994372837,0.01106832988170878,-0.0033729534550919088
-0.01009109660839159,0.01269814229502779,0.0028608580053035757
-0.00873214384376608,0.013046964943650244,0.0055914842192562805
-0.01919303519643309,0.002822681526935933,-0.012939767789204732
-0.017149719473077488,0.007687756081443721,-0.011556493804957439
-0.0153011475391317,0.009265196886375851,-0.00866681850650524
-0.008622889249041065,0.01377527250124985,0.006646380441511491
-0.01168286118474466,0.011812588710702236,-0.001171956291768278
-0.014671972932470351,0.009928917036372494,-0.007599056417988206
-0.008320312049640047,0.01132546727172431,0.003594095932409426
-0.008411243237164549,0.012235766340799871,0.004557178825772194
-0.016496716834821762,0.008481763982079588,-0.010711036986409623
-0.019155340619727346,0.004306407337724178,-0.013391247146235366
-0.010646001705236705,0.012610995264059356,0.001327703131208603
-0.01926759118041672,0.0013293165469630635,-0.012579395930651677
-0.013279643133374677,0.011111558543434092,-0.004904282743471513
-0.01572061904570626,-0.017507051338442017,-0.005269754557595841
-0.008268605783354045,0.013356315436025364,0.005962499145516596
-0.008955166830533422,0.013888986496822582,0.005940464689146506
-0.012278113317075885,0.011804937024086503,-0.0027232754566758445
-0.018133370275449492,-0.004721969568129064,-0.00997071989034736
-0.0075575718895884185,0.0069406720019418305,0.0006512897225758163
-0.007816412567919583,0.008514845473910028,0.0014897176888473945
-0.0159842185557211,0.009176204809922806,-0.010023505436745024
-0.008294445223046325,0.014467170465598268,0.007911439340913252
-0.009588109636324291,0.013513701550659509,0.004045483155920284
-0.014169193286075944,0.010586831216659334,-0.0067704798620770845
-0.018355626703414306,0.006904037884246654,-0.013246734286647096
-0.011193263272224297,0.012563002146596945,-0.00021158153342982594
-0.01483855784888589,0.010274970272651323,-0.008135984691029144
-0.01538098949058198,0.00979107022690156,-0.009069187124713714
-0.007929353034752668,0.014755094878904139,0.008493319447513864
-0.007712600561354235,0.015199337502551351,0.0096410545875888
-0.010104087313006075,0.013340982896092129,0.002473919050574497
-0.007888727909832789,0.014620200442159795,0.007906331608813983
-0.008545458646383945,0.014469933353385103,0.006876065821924846
-0.007972117945292055,0.010393798835705587,0.002740940367076077
-0.01296915915079816,0.011731852383898326,-0.004469899649558578
-0.0091914665916222,0.014033200709147473,0.004863147397581362
-0.013850384705171966,0.011169766902758645,-0.006326891187955235
-0.008000692142935023,0.012749623989165761,0.004939241032652045
-0.007820743554450805,0.015090123939736563,0.009310704891663931
-0.017132342628090318,0.00843236829697811,-0.011877534988944291
-0.0167074201542551,0.009030249668998175,-0.011373960724600061
-0.006999702700068541,-0.0014363054609133129,-0.0019126510941313317
-0.010575439624754277,0.013269910995928391,0.0010116591442049772
-0.014618200721560731,0.010724556491387385,-0.00787949972617905
-0.007265050323097038,0.01575380138134049,0.011261857789675195
-0.011868458590739091,0.01249207245876791,-0.0020686803639283894
-0.015323954623202393,0.01029308273661647,-0.009208575708848055
-0.01923731413547946,0.0056673741207588805,-0.014039154296921619
-0.009434415790691982,0.014012356411944076,0.003901183057913872
-0.016126306058076537,0.009747074183021362,-0.010593674992198357
-0.007436483855233864,0.01545998759267447,0.010061287781226173
-0.008294914137673758,0.01479597218448645,0.00707810506567131
-0.007905003040084674,0.013706415772403557,0.006111248963204666
-0.013651927303834464,0.01162263754640463,-0.00613178286477182
-0.007246279154887411,0.016013400070720604,0.011049557421520527
-0.012870166136738748,0.012134016850776525,-0.0045022542469254296
-0.014390342051442788,0.01118169040616138,-0.007629511190344947
-0.007680872577349886,0.014805132585250846,0.007710671791106754
-0.006924702935815995,0.01638888909828676,0.012468293510991251
-0.015106490390343813,0.010778320847979793,-0.009018383530012579
-0.007373318188493903,0.015831379809905146,0.010115732628412998
-0.011062062607873136,0.013207462487843206,-0.0004577654891122944
-0.006967588239232119,0.0021363374912611055,-0.0010923210784884335
-0.006443939228114672,0.016463821586644195,0.013819358117511534
-0.008659316178889629,0.014635449435708056,0.0055199734736873915
-0.017813843992609494,0.008085660613599414,-0.01292318928234366
-0.007133195846258905,0.015652081692677646,0.01025739073568086
-0.009794291172563191,0.013957302805314289,0.002550374232945414
-0.01212357311747096,0.012672424906105971,-0.0029586425178704297
-0.007689059242150442,0.01526619241890182,0.00813266327545737
-0.015836676191952417,0.010377196668100728,-0.010359167822902254
-0.006405459853382175,0.0162539124745327,0.013038366136990366
-0.006409912222885558,0.016873886070049714,0.014394506412634987
-0.013596632975582872,0.011914342083445066,-0.006215652762963393
-0.014215172503873733,0.011542345848544579,-0.007465459252978077
-0.00734272194071377,0.015880078318364757,0.009556696564331077
-0.008794880011272625,0.014628236868288288,0.004687518062283045
-0.007970859363617178,0.015114302579806572,0.006854887682052018
-0.014873736490203533,0.01118764573207075,-0.008763759039568492
-0.0068643154210345295,0.01580562400872336,0.010337443946575348
-0.017446445271915936,0.008822813109756009,-0.012657125460115624
-0.007242428222486462,0.01556030004359283,0.008807650348446992
-0.006141325993179123,0.0162997518000299,0.012922894400245417
-0.012998636025123564,0.012311930082172807,-0.004998714938551878
-0.017007087094672607,0.009455121613551451,-0.012179691116242806
-0.010505190817633812,0.013668409311168413,0.0005838632360007018
-0.007746050550113996,0.012501141275040872,0.0044645503592579475
-0.011508425027315078,0.013134247740634894,-0.0017258607650876012
-0.006354603567008996,0.016115099328574304,0.01159507211049131
-0.005737811236417799,0.016840743852946635,0.015670422737268836
-0.006663065367732464,0.0170305159449721,0.01334673063469049
-0.007414185106199982,0.015463575723212265,0.007902273369070413
-0.006663711570730171,0.01591150346149212,0.010348755486665907
-0.005797563777042905,0.017396198007779373,0.01667162891261519
-0.009544777270885343,0.014227825689281728,0.002739575202828982
-0.008056361231348905,0.015097096037166469,0.006161981891544903
-0.0071251836011684425,0.005510941173455918,3.7491304525160694e-05
-0.005575444534497038,0.016778369927644126,0.015483549330202795
-0.01921241734508115,-0.0016364825366230044,-0.011710598733025985
-0.005615562276712654,0.017098093570687534,0.016613116483374372
-0.006215210512803654,0.0161723264212662,0.011558366050357973
-0.006889784227232268,0.01576975072399917,0.009334056231230304
-0.00688212454978455,0.016827430632955366,0.01219657749854465
-0.015563689302203105,0.010837797931070946,-0.010069368393677286
-0.005925017225063759,0.01636501330924998,0.012833720086714602
-0.006458616607014252,0.01601858281176176,0.010510271908197802
-0.0055499370861028866,0.01735734051419699,0.017286344386110434
-0.014109784044505979,0.01177005997799967,-0.0073860998816202
-0.008768037678675088,0.014697954751061977,0.004401906560085142
-0.006979448107814159,0.015717109936793497,0.008751605802686854
-0.012428468409966408,0.012698520991481688,-0.0038371751024009037
-0.007384128920870711,0.015490988923971862,0.007585045620133595
-0.006265799806996749,0.017417653293104907,0.015068593899569587
-0.005206266435860997,0.017137603675947303,0.017262385588608323
-0.0066226715757440454,0.015918722178177986,0.009751395566679562
-0.005530922077295887,0.016621586007734477,0.014421950403170377
-0.006100026527610159,0.016218530758679323,0.011496626454703271
-0.0058362270964525415,0.016380882735438224,0.012605230968651552
-0.005398613694106861,0.01677323515785137,0.01542128285958198
-0.006306504756429318,0.016094741801632534,0.010628931415241365
-0.008279010992450573,0.014991495670408613,0.00539853175321453
-0.0067001175906491505,0.015873029689218606,0.009331171543109267
-0.0052192383169915495,0.017286274176645446,0.01775190398929462
-0.006908799507826619,0.015757265650277824,0.008685362478479734
-0.005519622267665075,0.01657790592061491,0.013917442664640645
-0.006447534436209566,0.016012096186070524,0.010021880322336637
-0.005149126265279183,0.016985734823601797,0.016630776253947193
-0.007821594033163083,0.01525145344207719,0.006419120752431709
-0.006221039288712924,0.016135694688774977,0.010678570605402268
-0.006037896832132949,0.016239949069150335,0.01137585170516794
-0.01659234323140753,0.01002765000322903,-0.011705497233944711
-0.005795210151507507,0.01638127903915992,0.012348363177213639
-0.0065805764831304014,0.01593697801492381,0.009510187787373928
-0.005041128681972803,0.01713121704817214,0.017394090673563584
-0.007447542276748152,0.0154634131226892,0.007226697657313637
-0.005512825286161853,0.016548668199395693,0.013506697639835285
-0.005087809632426211,0.016896233683533563,0.016076885393253755
-0.00516294862153078,0.016797491089335082,0.015354294835290562
-0.013716903406038705,0.012041013080706068,-0.006622300462948432
-0.004862451545174935,0.017321638761498014,0.018365633841341475
-0.006302640403447256,0.016087538611663284,0.010301905762633679
-0.007107530758406489,0.015649813472965624,0.008056029335505801
-0.0049556964650816935,0.017037983544506117,0.016965299517431833
-0.006052485445090749,0.01622391404767753,0.0111176198101566
-0.009308103001219672,0.014413335407116616,0.003059937462833573
-0.006745660573225922,0.01584672584569176,0.008963331142497694
-0.005201792897541588,0.016734482220598822,0.014792410869092613
-0.005803307359236007,0.016362594815067147,0.012038861661578505
-0.0048157750911891044,0.017192334482910146,0.01785053076803184
-0.004846692552192502,0.017445760693424094,0.018840361581514677
-0.005158068143144682,0.017518813803373282,0.018475458909820434
-0.006426471617500468,0.01601841710271664,0.009836032477334765
-0.008123907169405873,0.015090021593117493,0.005623415752422541
-0.005533323678840049,0.016515912299135127,0.013106097103407788
-0.014645857836954171,0.011511054634788083,-0.008470572654417178
-0.006952636382453408,0.01684139126743352,0.011463401217704144
-0.0061378351658819465,0.016173268847554136,0.010717582491227968
-0.007674913726975086,0.015341106533665367,0.006622630213636522
-0.011014558029351681,0.013476931724728919,-0.0007421081231016039
-0.007283027550367849,0.01555669641414084,0.0075334953134022576
